"ITTER107","Territory","TIPO_DATO_FOL","Data type","SEXISTAT1","Gender","ETA1","Age class","TIME","Select time","Value","Flag Codes","Flags"
"ITG2","Sardegna","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q3","Q3-2023",9.083443,,
"ITG2","Sardegna","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q4","Q4-2023",9.531666,,
"ITDA","Trentino Alto Adige / Südtirol","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023","2023",2.330417,,
"ITDA","Trentino Alto Adige / Südtirol","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q1","Q1-2023",3.024907,,
"ITDA","Trentino Alto Adige / Südtirol","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q2","Q2-2023",2.158951,,
"ITDA","Trentino Alto Adige / Südtirol","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q3","Q3-2023",1.685537,,
"ITDA","Trentino Alto Adige / Südtirol","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q4","Q4-2023",2.471077,,
"ITF1","Abruzzo","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",8.750921,,
"ITF1","Abruzzo","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",7.59679,,
"ITF1","Abruzzo","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",10.944285,,
"ITF1","Abruzzo","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",8.570052,,
"ITF1","Abruzzo","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",7.954698,,
"ITC1","Piemonte","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",6.169227,,
"ITC1","Piemonte","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",6.486311,,
"ITC1","Piemonte","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",5.515652,,
"ITC1","Piemonte","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",6.317618,,
"ITC1","Piemonte","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",6.361399,,
"ITG1","Sicilia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",15.779062,,
"ITG1","Sicilia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",16.640011,,
"ITG1","Sicilia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",15.167862,,
"ITG1","Sicilia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",15.704758,,
"ITG1","Sicilia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",15.604397,,
